category_id;code;name;unit;factory_id;specification;default_warehouse_ids;manages_lot;manages_expiry;min_stock;max_stock;opening_stock;image_url;equipment_name;is_active;created_at;updated_at
Thiết bị phụ tùng thay thế;Thân bơm chuyền cốm;Thân bơm chuyền cốm;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Gối đỡ SNG 513-611;Gối đỡ SNG 513-611;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Gối đỡ SNG 519-616;Gối đỡ SNG 519-616;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Gối đỡ SNG 520-617;Gối đỡ SNG 520-617;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Gối đỡ SNG 526;Gối đỡ SNG 526;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Gối đỡ SNG 528 GLH;Gối đỡ SNG 528 GLH;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;2;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Bộ bánh xe đẩy thùng;Bộ bánh xe đẩy thùng;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;10;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Đá cắt 150;Đá cắt 150;viên;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;24;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Đá cắt 180;Đá cắt 180;viên;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;226;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Đá cắt 300;Đá cắt 300;viên;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;15;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Que hàn sắt 4,0mm;Que hàn sắt 4,0mm;kg;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;10;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Que hàn sắt 3,2mm;Que hàn sắt 3,2mm;kg;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Que hàn thép;Que hàn thép;kg;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;30;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Que hàn inox;Que hàn inox;kg;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;6;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Kìm hàn;Kìm hàn;cái;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;0;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Bộ cờ lê (Bộ chìa khóa 8-32);Bộ cờ lê (Bộ chìa khóa 8-32);bộ;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;1;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Xích đơn 60;Xích đơn 60;mét;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;12;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Xích đơn 80;Xích đơn 80;mét;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;12;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
Thiết bị phụ tùng thay thế;Xích đơn 100;Xích đơn 100;mét;0268ab41-a564-4538-acf1-6297ac372f57;;KA;;;20;2;9;;;TRUE;03/05/2026 6:00;03/05/2026 6:00
